,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std,rot_sz
0,512,10000,Bolt,4,16,True,0.9329518712407342,0.04550473650752606,LabelMe,2.2764830589294434,0.022850000000000002,0.0675,0.0337625,0.03368962516487828,751534.6083887465,227817.67300860758,True,200,0.0,0.09,0.365,0.815,0.995,0.23,0.705,0.99,10406.49229012213,302613475032371.94,2.9961556391601734e+17,17395785.890188754,16.0
1,512,10000,Bolt,4,32,True,0.9432394836560886,0.040698431495175755,LabelMe,2.4659790992736816,0.019049999999999997,0.07114,0.031473999999999995,0.03677208348734132,1592137.0435318928,362052.98005242023,True,200,0.0,0.095,0.445,0.855,0.995,0.33,0.76,0.985,14826.635537993867,628522694464573.9,6.165922532718245e+17,25070350.5088272,16.0
2,512,10000,Bolt,4,64,True,0.96277930223632,0.024997655006747443,LabelMe,2.7668509483337402,0.01125,0.030919999999999996,0.015023,0.013348635548249865,1929553.9086894444,433349.78675893275,True,200,0.0,0.15,0.625,0.955,1.0,0.455,0.885,1.0,16559.657697845712,768578787189400.2,7.484688398210278e+17,27723248.600536305,16.0
3,512,10000,PQ,4,16,,0.9319932248156391,0.04724476061803706,LabelMe,2.0555801391601562,0.02525,0.07997,0.0380855,0.04046243244974281,0.001379785565921934,0.0026634183927234166,True,200,,0.095,0.29,0.77,1.0,0.225,0.61,0.98,-0.08646990124781985,83623.1862943807,66723634.598128036,289.17672592609676,
4,512,10000,PQ,4,32,,0.9437339104169475,0.040545234147194506,LabelMe,2.2324509620666504,0.017050000000000003,0.061259999999999995,0.0275325,0.028161281820080562,0.0011942084837239014,0.0023749816536062967,True,200,,0.15,0.47,0.865,0.995,0.35,0.785,0.99,0.1110683649752134,112773.4179352353,124144426.61944762,335.8175183028032,
5,512,10000,PQ,4,64,,0.9632586367257906,0.02467108891114442,LabelMe,2.5219669342041016,0.0106,0.030849999999999995,0.0150285,0.014712247882291815,0.0009310810441147539,0.0019433688265039493,True,200,,0.165,0.605,0.96,1.0,0.48,0.905,0.995,-0.3460167413839703,101730.07060256797,116939792.44418153,318.9513299470354,
6,512,10000,PQ,8,8,,0.9544684486472846,0.03019492186322301,LabelMe,5.057038068771362,0.0116,0.03606999999999999,0.0187825,0.023020072626948856,0.0008529424658557818,0.0014971302202104395,True,200,,0.145,0.54,0.93,1.0,0.36,0.87,1.0,0.41656676931574405,193951.54695066233,220024109.29027137,440.3991069731964,
7,512,10000,PQ,8,16,,0.9715841568837669,0.020160161773560732,LabelMe,5.140166997909546,0.00645,0.019129999999999994,0.0096615,0.009577581518838666,0.000552429709421135,0.0009793952828594926,True,200,,0.255,0.73,0.98,1.0,0.58,0.93,1.0,-0.12993568546744083,48241.047621666454,49534664.67753574,219.6384090690518,
8,512,10000,PQ,8,32,,0.978358281949195,0.01593321558135001,LabelMe,5.843535900115967,0.0049,0.013519999999999999,0.006949,0.0070372223923931805,0.0004457101432459828,0.0008039713836969898,True,200,,0.3,0.81,0.99,1.0,0.66,0.96,1.0,-0.18545446689145512,22119.956096665297,10906224.814481381,148.72767631919092,
9,512,10000,OPQ,8,8,False,0.9773524403572083,0.012889484874904156,LabelMe,3.31289005279541,0.0052499999999999995,0.01731,0.007494000000000001,0.006113179532779975,0.000414452631957829,0.0007429275428876281,True,200,20.0,0.235,0.785,0.985,1.0,0.62,0.94,1.0,-0.07578936964273453,64960.58984375,38632664.0,254.87368774414062,
10,512,10000,OPQ,8,16,False,0.9888479709625244,0.006451831199228764,LabelMe,3.615604877471924,0.0033,0.0077199999999999986,0.004255999999999999,0.0030833202882606927,0.00020980436238460243,0.00037994293961673975,True,200,20.0,0.39,0.905,1.0,1.0,0.815,0.995,1.0,0.12595798075199127,39707.125,35553900.0,199.2664337158203,
11,512,10000,OPQ,8,32,False,0.994903028011322,0.002967588137835264,LabelMe,4.366403102874756,0.0022,0.00411,0.0026139999999999996,0.001585371880663966,0.00010043616202892736,0.00019599268853198737,True,200,20.0,0.52,0.97,1.0,1.0,0.925,0.995,1.0,0.04644235596060753,48319.046875,60575372.0,219.81594848632812,
