,_algo,_code_bits,_ncodebooks,corr,dataset,err,norm_mean,rel_err
0,PQ,8,8,-0.8596559897440734,Mnist,2355243.344198396,True,-3.5105808747120077
1,PQ,8,8,-0.8381740259647186,Mnist,-899783.6954638438,True,-2.865664947486494
2,PQ,8,8,-0.9158318654036354,Mnist,966472.8707298908,True,-1.1312482764801226
3,PQ,8,8,-0.9255973810876073,Mnist,307743.40626628074,True,-1.5225324774731903
4,PQ,8,8,-0.8631284268425509,Mnist,-964622.0780800012,True,-1.2801805737771565
5,PQ,8,8,-0.9145169775337044,Mnist,-1201540.5485718863,True,-2.613076077368079
6,PQ,8,8,-0.818556569515066,Mnist,398719.0861602539,True,-1.3206793807249397
7,PQ,8,8,-0.8574287935118571,Mnist,635853.9823844535,True,-5.225877759475888
8,PQ,8,8,-0.7854256845839556,Mnist,-368065.1605212663,True,-1.4123872136561602
9,PQ,8,8,-0.8733345265913588,Mnist,839057.1904911252,True,0.3709919418874779
10,PQ,8,8,-0.9109194051891375,Mnist,65344.20631425921,True,-0.5754814281791008
11,PQ,8,8,-0.7776069684373991,Mnist,808703.8856729626,True,-3.3874700789817997
12,PQ,8,8,-0.9004002215008677,Mnist,1037716.2247408053,True,14.789184849677161
13,PQ,8,8,-0.8939231475304016,Mnist,1629712.5641640832,True,277.86256405962695
14,PQ,8,8,-0.8928311176294426,Mnist,871139.357148182,True,-1.3378299854924696
15,PQ,8,8,-0.8591013727889943,Mnist,-1167645.051570747,True,-1.796796342676776
16,PQ,8,8,-0.8828276389872826,Mnist,1987104.403936443,True,2.445317234274345
17,PQ,8,8,-0.8425091499202076,Mnist,122720.42889499517,True,-0.9272399613951108
18,PQ,8,8,-0.7010093871436656,Mnist,392865.23905859224,True,-2.7143375649570065
19,PQ,8,8,-0.8634473990285216,Mnist,490513.642794837,True,-2.7236521300884076
20,PQ,8,8,-0.9027337492926648,Mnist,-2527508.4559469926,True,-3.160124335521509
21,PQ,8,8,-0.8567383861088922,Mnist,-2477111.8673703265,True,-0.9097025371552383
22,PQ,8,8,-0.8150346231495875,Mnist,-2183082.319265887,True,-2.8587893394031942
23,PQ,8,8,-0.771790374262736,Mnist,-402349.6264648747,True,0.06003220453478332
24,PQ,8,8,-0.8777280309791657,Mnist,31872.438673610566,True,-1.3318032984979267
25,PQ,8,8,-0.8932142436892652,Mnist,1354714.6442606263,True,-1.2099222948756239
26,PQ,8,8,-0.8617646559286467,Mnist,-712338.4977885347,True,-2.2947184938369953
27,PQ,8,8,-0.8977881821894503,Mnist,1550902.710458449,True,-4.685443559250678
28,PQ,8,8,-0.9223257381226136,Mnist,2770462.947900739,True,-3.676010691103993
29,PQ,8,8,-0.8904867566730611,Mnist,-335618.90183449874,True,7.568373740767841
30,PQ,8,8,-0.865873648784425,Mnist,440397.8666232856,True,-4.336707131228328
31,PQ,8,8,-0.8997451112970254,Mnist,-1435103.936315597,True,14.9902263191937
32,PQ,8,8,-0.8706407560696572,Mnist,809550.5869728404,True,-3.292035623177249
33,PQ,8,8,-0.8373252630769137,Mnist,-348956.2506756593,True,-1.2854471261979887
34,PQ,8,8,-0.8970805450912362,Mnist,-2817252.8099135384,True,-106.251802297812
35,PQ,8,8,-0.8238728569711452,Mnist,1539178.1792989417,True,-2.2017267636558007
36,PQ,8,8,-0.8110816335413455,Mnist,-76498.9678315605,True,-0.6416484241366045
37,PQ,8,8,-0.8918262866689303,Mnist,-924130.7136215747,True,39.49496026568384
38,PQ,8,8,-0.8901590519265303,Mnist,-529842.3059340599,True,3.7016421969589577
39,PQ,8,8,-0.9111027980042823,Mnist,-398499.3136249374,True,-2.728111372168354
40,PQ,8,8,-0.9209323545393073,Mnist,-2116477.7163574477,True,-2.1346929204577916
