,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,Bolt,4,16,True,0.9255980106425029,Mnist,-5826453.0,True,0.0,-0.9999003395206212
1,Bolt,4,16,True,0.8951924556466285,Mnist,-5286679.0,True,0.0,-0.9998685909566972
2,Bolt,4,16,True,0.945728157787212,Mnist,-7305771.0,True,0.0,-0.999884362910048
3,Bolt,4,16,True,0.8566111792166702,Mnist,-6082305.0,True,0.0,-0.9998972824682136
4,Bolt,4,16,True,0.8668192901958113,Mnist,-7352383.0,True,0.0,-0.9998941004915736
5,Bolt,4,16,True,0.9491285922843831,Mnist,-6233576.0,True,0.0,-0.9999068596927354
6,Bolt,4,16,True,0.9200264205619757,Mnist,-5185990.0,True,0.0,-0.9998933230275134
7,Bolt,4,16,True,0.9071466983684858,Mnist,-4989090.0,True,0.0,-0.9998733379847207
8,Bolt,4,16,True,0.8282272027732304,Mnist,-672908.0,True,0.0,-0.9998864175170107
9,Bolt,4,16,True,0.9245596518261248,Mnist,-3159938.0,True,0.0,-0.9999036366609751
10,Bolt,4,16,True,0.8580489101047227,Mnist,-8348959.0,True,0.0,-0.9999325482131046
11,Bolt,4,16,True,0.7509106246822603,Mnist,-4141747.0,True,0.0,-0.9998889800993562
12,Bolt,4,16,True,0.9248836143225667,Mnist,-6265690.0,True,0.0,-0.9998738905147122
13,Bolt,4,16,True,0.8063225424623208,Mnist,-4034061.0,True,0.0,-0.9998896340331342
14,Bolt,4,16,True,0.9494461851180551,Mnist,-3581900.0,True,0.0,-0.999899345380724
15,Bolt,4,16,True,0.8803106985766376,Mnist,-9629160.0,True,0.0,-0.9998990521263346
16,Bolt,4,16,True,0.8890989458424344,Mnist,-6102411.0,True,0.0,-0.9998936725227116
17,Bolt,4,16,True,0.9015064558146902,Mnist,-5290884.0,True,0.0,-0.9998759442081119
18,Bolt,4,16,True,0.8942552095775618,Mnist,-6605161.0,True,0.0,-0.9998928349502783
19,Bolt,4,16,True,0.9102559855203824,Mnist,-7278608.0,True,0.0,-0.9999209873513757
20,Bolt,4,16,True,0.939877001301664,Mnist,-4081978.0,True,0.0,-0.9998974790750864
21,Bolt,4,16,True,0.8803956846559772,Mnist,-6423152.0,True,0.0,-0.9999013802068638
22,Bolt,4,16,True,0.8737343440995499,Mnist,-8169145.0,True,0.0,-0.999890779307259
23,Bolt,4,16,True,0.9032617403982165,Mnist,-3505124.0,True,0.0,-0.9998864581921415
24,Bolt,4,16,True,0.9150761777249331,Mnist,-6628045.0,True,0.0,-0.9998773593474597
25,Bolt,4,16,True,0.9369639750064376,Mnist,-7422999.0,True,0.0,-0.9998844667476128
26,Bolt,4,16,True,0.913334601790159,Mnist,-9353775.0,True,0.0,-0.9998711116094011
27,Bolt,4,16,True,0.886174652284191,Mnist,-6371299.0,True,0.0,-0.9999092531642176
28,Bolt,4,16,True,0.8392262582794133,Mnist,-8489606.0,True,0.0,-0.9998995701602861
29,Bolt,4,16,True,0.9426633781522749,Mnist,-5417228.0,True,0.0,-0.999893188791659
30,Bolt,4,16,True,0.9201751416746159,Mnist,-8592620.0,True,0.0,-0.999885930436251
31,Bolt,4,16,True,0.9419960632706064,Mnist,-5809542.0,True,0.0,-0.9998999897965298
32,Bolt,4,16,True,0.9232660073720521,Mnist,-4927838.0,True,0.0,-0.9999060518247009
33,Bolt,4,16,True,0.8226137837186033,Mnist,-7241889.0,True,0.0,-0.9998925362003718
34,Bolt,4,16,True,0.9244796299279069,Mnist,-7020940.0,True,0.0,-0.9998937128938199
35,Bolt,4,16,True,0.8147136278107189,Mnist,-9568830.0,True,0.0,-0.999867648909363
36,Bolt,4,16,True,0.9078533132888127,Mnist,-5778566.0,True,0.0,-0.9998836396899636
37,Bolt,4,16,True,0.947521288629531,Mnist,-8460213.0,True,0.0,-0.9999023157416479
38,Bolt,4,16,True,0.8857589497301143,Mnist,-10139978.0,True,0.0,-0.9998987404583433
39,Bolt,4,16,True,0.9499820768013613,Mnist,-7442847.0,True,0.0,-0.9999098861085971
40,Bolt,4,16,True,0.9435706999473026,Mnist,-4862219.0,True,0.0,-0.9998889883368371
41,Bolt,4,16,True,0.9288538277972574,Mnist,-11247484.0,True,0.0,-0.9999003406277417
42,Bolt,4,16,True,0.9347246323528905,Mnist,-4344413.0,True,0.0,-0.999883193693443
43,Bolt,4,16,True,0.9138606152915096,Mnist,-5581306.0,True,0.0,-0.9998939126120743
44,Bolt,4,16,True,0.9263330292565375,Mnist,-4614654.0,True,0.0,-0.9998902191266396
45,Bolt,4,16,True,0.8924924377176067,Mnist,-4952819.0,True,0.0,-0.9998729353633983
46,Bolt,4,16,True,0.9224741360343931,Mnist,-5556792.0,True,0.0,-0.9998931127942529
47,Bolt,4,16,True,0.9197308150404757,Mnist,-6542810.0,True,0.0,-0.9998914303347046
48,Bolt,4,16,True,0.9203921706889393,Mnist,-6776947.0,True,0.0,-0.999896380575729
49,Bolt,4,16,True,0.8816854286547773,Mnist,-6419725.0,True,0.0,-0.9998934062047279
50,Bolt,4,16,True,0.8922062538667338,Mnist,-5247042.0,True,0.0,-0.9999075305472215
51,Bolt,4,16,True,0.8749198801559919,Mnist,-6020029.0,True,0.0,-0.9998727047696625
52,Bolt,4,16,True,0.872207364052006,Mnist,-8334739.0,True,0.0,-0.9999128612910188
53,Bolt,4,16,True,0.8926755813097846,Mnist,-2031550.0,True,0.0,-0.9998978427273308
54,Bolt,4,16,True,0.840672713739318,Mnist,-6070616.0,True,0.0,-0.9998972965118643
55,Bolt,4,16,True,0.8222781320316587,Mnist,-7397205.0,True,0.0,-0.999903769297888
56,Bolt,4,16,True,0.8816727906268306,Mnist,-6197178.0,True,0.0,-0.9999148493016418
57,Bolt,4,16,True,0.9458972777341367,Mnist,-7367348.0,True,0.0,-0.9998982967228246
58,Bolt,4,16,True,0.89391333982389,Mnist,-10103683.0,True,0.0,-0.9999049281231427
59,Bolt,4,16,True,0.9247200807793609,Mnist,-7170198.0,True,0.0,-0.9998890494755813
60,Bolt,4,16,True,0.8937610532464073,Mnist,-4750557.0,True,0.0,-0.9998932378065397
61,Bolt,4,16,True,0.8763620739638767,Mnist,-6053500.0,True,0.0,-0.9998830949321653
62,Bolt,4,16,True,0.9221657277393379,Mnist,-7056736.0,True,0.0,-0.9998794231895937
63,Bolt,4,16,True,0.9104366312101448,Mnist,-5866540.0,True,0.0,-0.9998876885424768
64,Bolt,4,16,True,0.8924522554973406,Mnist,-8657665.0,True,0.0,-0.9998685775838098
65,Bolt,4,16,True,0.9355491660089349,Mnist,-7658148.0,True,0.0,-0.9998765402197364
