,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rot_sz
0,128,1000000,Bolt,4,16,True,Convnet1M,262.56675386428833,0.00031150000000000004,0.0013679,0.000650365,0.0012021055493487251,True,200,0.0,0.09,0.385,0.855,1.0,0.26,0.71,0.975,16.0
1,128,1000000,Bolt,4,32,True,Convnet1M,279.27790808677673,9e-05,0.0002942,0.000129665,0.00011233015078330485,True,200,0.0,0.25,0.715,0.985,1.0,0.56,0.96,1.0,16.0
2,128,1000000,Bolt,4,64,True,Convnet1M,325.74964213371277,2.5e-05,5.6e-05,3.147e-05,1.8229895775895156e-05,True,200,0.0,0.515,0.97,1.0,1.0,0.855,1.0,1.0,16.0
3,128,1000000,PQ,4,16,,Convnet1M,208.7792899608612,0.0003005,0.0018629999999999992,0.00085926,0.0020524255363837196,True,200,,0.1,0.37,0.84,0.975,0.255,0.7,0.96,
4,128,1000000,PQ,4,32,,Convnet1M,239.1799919605255,9.25e-05,0.0003002,0.00015128,0.00022637820478129073,True,200,,0.225,0.72,0.99,1.0,0.61,0.965,1.0,
5,128,1000000,PQ,4,64,,Convnet1M,283.04851508140564,2.6e-05,5.1199999999999984e-05,3.1240000000000006e-05,1.9742907587283087e-05,True,200,,0.455,0.96,1.0,1.0,0.885,0.995,1.0,
6,128,1000000,PQ,8,8,,Convnet1M,284.82743191719055,0.000308,0.0011798,0.0006078149999999999,0.0010573609273918723,True,200,,0.095,0.32,0.785,0.985,0.255,0.645,0.965,
7,128,1000000,PQ,8,16,,Convnet1M,2157.6330490112305,7.65e-05,0.00022019999999999999,0.000106025,9.496796499346505e-05,True,200,,0.235,0.725,0.985,1.0,0.545,0.94,1.0,
8,128,1000000,PQ,8,32,,Convnet1M,397.4309060573578,2.3e-05,4.51e-05,2.7025e-05,1.509782683037529e-05,True,200,,0.5,0.975,1.0,1.0,0.89,1.0,1.0,
9,128,1000000,OPQ,8,8,False,Convnet1M,204.74052095413208,0.000268,0.0011706999999999998,0.00050236,0.0006681880950750321,True,200,20.0,0.095,0.375,0.81,0.985,0.29,0.685,0.97,
10,128,1000000,OPQ,8,16,False,Convnet1M,230.62639999389648,7.5e-05,0.00019859999999999995,0.00010998999999999998,0.00012370707295866312,True,200,20.0,0.23,0.74,0.99,1.0,0.55,0.965,1.0,
11,128,1000000,OPQ,8,32,False,Convnet1M,299.7805790901184,2.1e-05,4.1099999999999996e-05,2.5435000000000003e-05,1.7056253252106688e-05,True,200,20.0,0.56,0.995,1.0,1.0,0.94,1.0,1.0,
