,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rot_sz
0,832,60000,Bolt,4,16,True,Mnist,15.777729034423828,0.0024083333333333335,0.006646666666666664,0.003803833333333333,0.007667619815750444,True,200,0.0,0.19,0.635,0.965,1.0,0.54,0.92,1.0,16.0
1,832,60000,Bolt,4,32,True,Mnist,16.975540161132812,0.0009833333333333332,0.0024683333333333332,0.0016519999999999998,0.003561661815626083,True,200,0.0,0.29,0.82,0.99,1.0,0.67,0.97,1.0,16.0
2,832,60000,Bolt,4,64,True,Mnist,19.25486397743225,0.0005166666666666667,0.0012516666666666666,0.0007100833333333333,0.0006781795433773829,True,200,0.0,0.43,0.905,1.0,1.0,0.82,1.0,1.0,16.0
3,832,60000,PQ,4,16,,Mnist,12.72261095046997,0.0019666666666666665,0.006296666666666665,0.003104583333333333,0.003894185814739998,True,200,,0.175,0.675,0.955,1.0,0.485,0.88,1.0,
4,832,60000,PQ,4,32,,Mnist,13.302518844604492,0.0009916666666666667,0.003003333333333333,0.0014375,0.0015301041631209295,True,200,,0.34,0.855,1.0,1.0,0.685,0.98,1.0,
5,832,60000,PQ,4,64,,Mnist,16.33248496055603,0.0005250000000000001,0.001111666666666666,0.0007738333333333333,0.0015424966324472512,True,200,,0.465,0.94,1.0,1.0,0.86,0.99,1.0,
6,832,60000,PQ,8,8,,Mnist,39.38193702697754,0.0008666666666666666,0.0019866666666666652,0.001247,0.0015185261128988052,True,200,,0.28,0.84,0.995,1.0,0.645,0.99,1.0,
7,832,60000,PQ,8,16,,Mnist,41.278522968292236,0.0004333333333333333,0.0009333333333333333,0.0006575,0.0011401519757373477,True,200,,0.465,0.95,1.0,1.0,0.875,0.995,1.0,
8,832,60000,PQ,8,32,,Mnist,42.92666292190552,0.00028333333333333335,0.0004849999999999999,0.0003411666666666667,0.00025430684658935595,True,200,,0.585,0.985,1.0,1.0,0.95,1.0,1.0,
9,832,60000,OPQ,8,8,False,Mnist,21.988916158676147,0.00065,0.0014349999999999999,0.0008435833333333332,0.0007616405493334037,True,200,20.0,0.335,0.855,1.0,1.0,0.69,0.995,1.0,
10,832,60000,OPQ,8,16,False,Mnist,24.3386709690094,0.00038333333333333334,0.0007366666666666665,0.00044908333333333334,0.00021513689117500152,True,200,20.0,0.52,0.975,1.0,1.0,0.915,1.0,1.0,
11,832,60000,OPQ,8,32,False,Mnist,27.337692975997925,0.000275,0.00045,0.000304,0.00011653850102958344,True,200,20.0,0.655,1.0,1.0,1.0,0.965,1.0,1.0,
