,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rot_sz
0,512,20019,Bolt,4,16,True,LabelMe,43.41242814064026,0.022428692741895198,0.06689644837404468,0.031889230231280284,0.03127499255736823,True,2000,0.0,0.104,0.351,0.7785,0.994,0.249,0.6465,0.9745,16.0
1,512,20019,Bolt,4,16,True,LabelMe,42.56618404388428,0.021954143563614567,0.06953893800889156,0.03199717768120286,0.032280302915727734,True,2000,20.0,0.1055,0.3315,0.777,0.9955,0.2375,0.6375,0.972,32.0
2,512,20019,Bolt,4,32,True,LabelMe,42.652799129486084,0.014161546530795745,0.04710025475797998,0.021109620860182827,0.021823372050203335,True,2000,0.0,0.1475,0.4435,0.873,0.999,0.335,0.763,0.988,16.0
3,512,20019,Bolt,4,32,True,LabelMe,39.490554094314575,0.013437234627104251,0.041790299215745084,0.019790074429292173,0.01973814957721981,True,2000,20.0,0.1425,0.473,0.8845,0.999,0.338,0.7865,0.9925,32.0
4,512,20019,Bolt,4,64,True,LabelMe,46.52867317199707,0.0065937359508466955,0.018632299315650133,0.009006818522403716,0.008559954169353618,True,2000,0.0,0.2445,0.662,0.9655,1.0,0.5305,0.9135,0.9995,16.0
5,512,20019,Bolt,4,64,True,LabelMe,47.77787184715271,0.005894400319696289,0.017388480943104058,0.00833625555722064,0.008187454210471708,True,2000,20.0,0.252,0.684,0.972,1.0,0.5345,0.9215,1.0,32.0
6,512,20019,PQ,4,16,,LabelMe,30.042619943618774,0.020780258754183524,0.06404415804985265,0.030025176082721417,0.02993209277506359,True,2000,,0.1155,0.3375,0.777,0.9945,0.2385,0.646,0.965,
7,512,20019,PQ,4,32,,LabelMe,33.31396198272705,0.013986712623008142,0.044707527848543954,0.020337254608122288,0.020821937191523653,True,2000,,0.1605,0.4425,0.861,0.9985,0.333,0.7635,0.9905,
8,512,20019,PQ,4,64,,LabelMe,37.77751398086548,0.0060442579549428044,0.01884210000499527,0.008896423397772118,0.008815360301984078,True,2000,,0.2415,0.6605,0.9675,1.0,0.518,0.9095,0.999,
9,512,20019,PQ,8,8,,LabelMe,35.01977205276489,0.01004046156151656,0.03352315300464559,0.01512283330835706,0.01548669551596574,True,2000,,0.17,0.51,0.906,0.9995,0.378,0.8115,0.992,
10,512,20019,PQ,8,16,,LabelMe,36.94035220146179,0.005095159598381537,0.015785004245966332,0.007443853339327638,0.007586736266020116,True,2000,,0.2525,0.712,0.983,1.0,0.5495,0.935,1.0,
11,512,20019,PQ,8,32,,LabelMe,41.30929398536682,0.003246915430341176,0.008691742844297917,0.0043297367500874165,0.003779356766069248,True,2000,,0.3435,0.8095,0.9965,1.0,0.68,0.983,1.0,
12,512,20019,OPQ,8,8,False,LabelMe,31.581178903579712,0.0038463459713272393,0.009645836455367408,0.0050894650082421704,0.004601361006038637,True,2000,20.0,0.308,0.784,0.993,1.0,0.63,0.9665,1.0,
13,512,20019,OPQ,8,16,False,LabelMe,33.668511152267456,0.0017483390778760177,0.0037963934262450674,0.0021216344472750888,0.0013839381877926746,True,2000,20.0,0.4635,0.93,0.9995,1.0,0.83,0.9985,1.0,
14,512,20019,OPQ,8,32,False,LabelMe,34.83593201637268,0.0009990509016434388,0.0018482441680403618,0.001154802937209651,0.0005636189646075853,True,2000,20.0,0.598,0.986,1.0,1.0,0.9375,1.0,1.0,
