,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rot_sz
0,128,1000000,Bolt,4,16,True,Sift1M,247.3805811405182,0.0007025,0.0033242,0.0013851150000000001,0.002108189225799003,True,200,0.0,0.205,0.47,0.82,0.97,0.385,0.745,0.935,16.0
1,128,1000000,Bolt,4,32,True,Sift1M,270.53729009628296,0.000146,0.0005708999999999998,0.00026340500000000003,0.00035028876798293146,True,200,0.0,0.31,0.73,0.96,1.0,0.63,0.92,0.995,16.0
2,128,1000000,Bolt,4,64,True,Sift1M,321.3144838809967,3.9e-05,9.409999999999998e-05,4.8830000000000005e-05,3.74271438931693e-05,True,200,0.0,0.555,0.965,1.0,1.0,0.885,1.0,1.0,16.0
3,128,1000000,PQ,4,16,,Sift1M,215.76906299591064,0.0006345000000000001,0.0027383999999999998,0.00119388,0.0018696566758632455,True,200,,0.15,0.415,0.81,0.975,0.345,0.705,0.96,
4,128,1000000,PQ,4,32,,Sift1M,241.96932101249695,0.0001585,0.0004951999999999999,0.00025300999999999996,0.0003357310231420385,True,200,,0.37,0.765,0.96,1.0,0.63,0.925,1.0,
5,128,1000000,PQ,4,64,,Sift1M,284.33220410346985,3.6e-05,9.829999999999998e-05,4.9439999999999994e-05,4.043508872254394e-05,True,200,,0.51,0.945,1.0,1.0,0.855,0.99,1.0,
6,128,1000000,PQ,8,8,,Sift1M,444.40117621421814,0.00031,0.0011579000000000001,0.000532585,0.000749337382475344,True,200,,0.19,0.6,0.915,0.995,0.47,0.825,0.99,
7,128,1000000,PQ,8,16,,Sift1M,318.4979088306427,5.5e-05,0.00016259999999999997,8.777999999999999e-05,0.00010176095321880588,True,200,,0.43,0.89,0.995,1.0,0.785,0.985,1.0,
8,128,1000000,PQ,8,32,,Sift1M,398.0187020301819,2.5e-05,5.1099999999999995e-05,2.982e-05,2.148063313778251e-05,True,200,,0.625,0.99,1.0,1.0,0.95,1.0,1.0,
9,128,1000000,OPQ,8,8,False,Sift1M,204.41331100463867,0.000222,0.0008318999999999999,0.00038269500000000006,0.00045171129272467825,True,200,20.0,0.32,0.655,0.95,0.995,0.555,0.91,0.985,
10,128,1000000,OPQ,8,16,False,Sift1M,232.61666917800903,5.1e-05,0.0001362,6.9255e-05,5.773144701980022e-05,True,200,20.0,0.48,0.92,1.0,1.0,0.82,1.0,1.0,
11,128,1000000,OPQ,8,32,False,Sift1M,291.5634751319885,2.15e-05,4.309999999999999e-05,2.5240000000000002e-05,1.3859018724282034e-05,True,200,20.0,0.67,0.99,1.0,1.0,0.96,1.0,1.0,
