,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err
0,OPQ,4,16,False,0.9548701047897339,Mnist,-388953.5625,True,5,-0.24413588643074036
1,OPQ,4,16,False,0.947529137134552,Mnist,179878.625,True,5,-0.39088699221611023
2,OPQ,4,16,False,0.9615103006362915,Mnist,57755.1640625,True,5,0.02108946070075035
3,OPQ,4,16,False,0.9635933041572571,Mnist,227630.875,True,5,-0.33789846301078796
4,OPQ,4,16,False,0.9466172456741333,Mnist,15714.375,True,5,-0.4362863600254059
5,OPQ,4,16,False,0.9656593799591064,Mnist,-165157.96875,True,5,-0.17458079755306244
6,OPQ,4,16,False,0.9380254745483398,Mnist,143755.0,True,5,-12.753545761108398
7,OPQ,4,16,False,0.9310019016265869,Mnist,-51961.71875,True,5,-0.5689854621887207
8,OPQ,4,16,False,0.9178615808486938,Mnist,85844.84375,True,5,-1.5175608396530151
9,OPQ,4,16,False,0.9524210095405579,Mnist,224918.859375,True,5,-0.4671766459941864
10,OPQ,4,16,False,0.9652186036109924,Mnist,5830.375,True,5,-0.6255925297737122
11,OPQ,4,16,False,0.9229992628097534,Mnist,103509.09375,True,5,1.6241093873977661
12,OPQ,4,16,False,0.9578652381896973,Mnist,-39145.0,True,5,0.7448976635932922
13,OPQ,4,16,False,0.9596394300460815,Mnist,-39754.90625,True,5,-0.1975184679031372
14,OPQ,4,16,False,0.9628463983535767,Mnist,21774.7109375,True,5,2.4842071533203125
15,OPQ,4,16,False,0.933899998664856,Mnist,-4898.84375,True,5,0.4464314877986908
16,OPQ,4,16,False,0.9542862176895142,Mnist,138727.6875,True,5,-0.4010418653488159
17,OPQ,4,16,False,0.9436445236206055,Mnist,-144679.1875,True,5,-0.9412874579429626
18,OPQ,4,16,False,0.9276031255722046,Mnist,88644.625,True,5,-0.4014214873313904
19,OPQ,4,16,False,0.9479666948318481,Mnist,-95254.25,True,5,-0.027601247653365135
20,OPQ,4,16,False,0.9533581137657166,Mnist,-98896.78125,True,5,0.17867210507392883
21,OPQ,4,16,False,0.9412447214126587,Mnist,20470.90625,True,5,-0.12314623594284058
22,OPQ,4,16,False,0.9231057167053223,Mnist,-13171.171875,True,5,-0.45713067054748535
23,OPQ,4,16,False,0.9193851351737976,Mnist,-124245.953125,True,5,0.15427608788013458
24,OPQ,4,16,False,0.9461876153945923,Mnist,200931.3125,True,5,-0.9323402047157288
25,OPQ,4,16,False,0.9712357521057129,Mnist,-168312.90625,True,5,-0.00414329394698143
26,OPQ,4,16,False,0.946094274520874,Mnist,82490.71875,True,5,-0.7226310968399048
27,OPQ,4,16,False,0.952482283115387,Mnist,57478.5,True,5,-0.5386517643928528
28,OPQ,4,16,False,0.9628626108169556,Mnist,105773.796875,True,5,-0.28312331438064575
29,OPQ,4,16,False,0.9544737339019775,Mnist,152515.5625,True,5,-0.3837694525718689
30,OPQ,4,16,False,0.9416571855545044,Mnist,-411642.625,True,5,-2.401796579360962
31,OPQ,4,16,False,0.953863799571991,Mnist,-312276.65625,True,5,-0.03835887089371681
32,OPQ,4,16,False,0.9543808102607727,Mnist,157050.875,True,5,-1.325563669204712
33,OPQ,4,16,False,0.9433056116104126,Mnist,11352.765625,True,5,0.7770477533340454
34,OPQ,4,16,False,0.9519702792167664,Mnist,231478.078125,True,5,-0.11436441540718079
35,OPQ,4,16,False,0.9369714856147766,Mnist,-262571.8125,True,5,-6.617717742919922
