,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std,rot_sz
0,832,10000,Bolt,4,16,True,0.8954764980809825,0.03821294549331776,Mnist,8.512393951416016,0.00655,0.0146,0.008655078125,0.008219573009752179,47551894223944.664,24790899104236.117,True,256,0.0,0.265625,0.80078125,0.9921875,1.0,0.640625,0.98046875,1.0,-0.9998888759328007,0.999777764361455,2.4270565917145546e-05,1.2136671210953314e-05,16.0
1,832,10000,Bolt,4,16,True,0.8970349172848451,0.03864373865164788,Mnist,8.40371823310852,0.00595,0.01715,0.008253906250000002,0.007142012609636791,47552294223932.67,24791093199658.742,True,256,20.0,0.31640625,0.8046875,0.9921875,1.0,0.68359375,0.98046875,1.0,-0.9998931670858577,0.9997863457176547,2.3033874738089425e-05,1.1518196036322303e-05,8.0
2,832,10000,Bolt,4,16,True,0.897369810320187,0.03860272702317846,Mnist,8.464952945709229,0.0064,0.01695,0.008465234374999998,0.007418626416919668,47552781528386.17,24791320009622.434,True,256,20.0,0.3359375,0.79296875,0.9921875,1.0,0.6875,0.9765625,1.0,-0.9998984299654994,0.9997968703674851,2.1907814297819487e-05,1.0955044231893236e-05,16.0
3,832,10000,Bolt,4,16,True,0.8988377500366238,0.03735035733643065,Mnist,8.39659309387207,0.0057,0.0154,0.007933203125,0.007297599073667328,47553042659808.82,24791447472294.32,True,256,20.0,0.30078125,0.7890625,1.0,1.0,0.65625,0.9765625,1.0,-0.9999011600622946,0.999802330007381,2.1301179990235652e-05,1.065167491752014e-05,32.0
4,832,10000,Bolt,4,32,True,0.9321933196141174,0.026287759664610215,Mnist,8.88268780708313,0.0036,0.00825,0.0050039062500000005,0.006677707811533156,47542523508975.27,24786262168932.113,True,256,0.0,0.421875,0.9296875,1.0,1.0,0.77734375,1.0,1.0,-0.9997890884377489,0.9995782217122227,3.757048352800574e-05,1.87893492057246e-05,16.0
5,832,10000,Bolt,4,32,True,0.9290986424622141,0.026642313009314727,Mnist,8.644025087356567,0.0034,0.008150000000000001,0.004673828125,0.004910756150579967,47543617107218.68,24786836138679.434,True,256,20.0,0.40625,0.890625,1.0,1.0,0.79296875,1.0,1.0,-0.9998006055953381,0.9996012512714848,3.591929518526057e-05,1.796332140276446e-05,8.0
6,832,10000,Bolt,4,32,True,0.9289759458079777,0.026945585039045036,Mnist,8.76998496055603,0.00345,0.008400000000000001,0.004815625,0.005009279475071739,47543323662254.32,24786692180977.676,True,256,20.0,0.40625,0.90625,1.0,1.0,0.77734375,1.0,1.0,-0.9997974164804143,0.999594874341388,3.689641002910113e-05,1.8452054450039474e-05,16.0
7,832,10000,Bolt,4,32,True,0.93695647985594,0.02362186379230299,Mnist,8.535064935684204,0.0035,0.0079,0.00447265625,0.004176014376093063,47544020712131.84,24786922614421.03,True,256,20.0,0.4296875,0.94140625,1.0,1.0,0.8203125,0.99609375,1.0,-0.999805184794662,0.9996104078461195,3.4854298586332175e-05,1.743074715710526e-05,32.0
8,832,10000,Bolt,4,64,True,0.9702958280007458,0.009708161132771847,Mnist,9.094733953475952,0.0023,0.0043,0.0029566406249999996,0.0031784606576296657,47535772416132.86,24782542122232.16,True,256,0.0,0.5625,0.95703125,1.0,1.0,0.90234375,1.0,1.0,-0.9997190806856008,0.9994382405932046,3.499512175740043e-05,1.7502642793949042e-05,16.0
9,832,10000,Bolt,4,64,True,0.9744150614484081,0.007572931128623704,Mnist,9.196830034255981,0.0021,0.0042,0.00285703125,0.0040895003437490295,47535484006236.62,24782422548522.31,True,256,20.0,0.578125,0.96875,1.0,1.0,0.91015625,1.0,1.0,-0.9997156713893228,0.9994314239195997,3.45263774350461e-05,1.7268349489062315e-05,8.0
