,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err,rot_sz
0,Bolt,4,16,True,0.9618981652702873,Sift1M,-312868.0,True,0.0,-0.9978532896421886,32.0
1,Bolt,4,16,True,0.9649670454160734,Sift1M,-166518.0,True,0.0,-0.9971785018181119,32.0
2,Bolt,4,16,True,0.9763983026931229,Sift1M,-176049.0,True,0.0,-0.997497126330231,32.0
3,Bolt,4,16,True,0.9749655942477915,Sift1M,-414113.0,True,0.0,-0.9975192757075285,32.0
4,Bolt,4,16,True,0.9727654517846688,Sift1M,-414253.0,True,0.0,-0.9972304815191331,32.0
5,Bolt,4,16,True,0.9496381635106644,Sift1M,-214314.0,True,0.0,-0.9971084525662484,32.0
6,Bolt,4,16,True,0.9723842418401369,Sift1M,-353001.0,True,0.0,-0.9973244866040495,32.0
7,Bolt,4,16,True,0.9672541979294454,Sift1M,-449371.0,True,0.0,-0.9975458993893342,32.0
8,Bolt,4,16,True,0.9706270128361552,Sift1M,-278013.0,True,0.0,-0.9972183436002738,32.0
9,Bolt,4,16,True,0.975235117438415,Sift1M,-331567.0,True,0.0,-0.9974437558173852,32.0
10,Bolt,4,16,True,0.9654162515075758,Sift1M,-441593.0,True,0.0,-0.9975988184032001,32.0
11,Bolt,4,16,True,0.9799757603740525,Sift1M,-214541.0,True,0.0,-0.9971465958023253,32.0
12,Bolt,4,16,True,0.9771393571329716,Sift1M,-392892.0,True,0.0,-0.997695737639522,32.0
13,Bolt,4,16,True,0.9711807032348855,Sift1M,-224052.0,True,0.0,-0.9973924142485376,32.0
14,Bolt,4,16,True,0.9520278450393989,Sift1M,-327193.0,True,0.0,-0.9979852682816757,32.0
15,Bolt,4,16,True,0.9687580006097739,Sift1M,-439975.0,True,0.0,-0.997448025225803,32.0
16,Bolt,4,16,True,0.9736987241492756,Sift1M,-196472.0,True,0.0,-0.9974843335743553,32.0
17,Bolt,4,16,True,0.9766442262285702,Sift1M,-255446.0,True,0.0,-0.9974273111475486,32.0
18,Bolt,4,16,True,0.9614416618111548,Sift1M,-456562.0,True,0.0,-0.9974146277063897,32.0
19,Bolt,4,16,True,0.9775521659637235,Sift1M,-191894.0,True,0.0,-0.9973259869032393,32.0
20,Bolt,4,16,True,0.9717728129712441,Sift1M,-197861.0,True,0.0,-0.9977153424003817,32.0
21,Bolt,4,16,True,0.9815482613091175,Sift1M,-452646.0,True,0.0,-0.9975033002353211,32.0
22,Bolt,4,16,True,0.9804913522352291,Sift1M,-353489.0,True,0.0,-0.9976275942655058,32.0
23,Bolt,4,16,True,0.9778458745114159,Sift1M,-302505.0,True,0.0,-0.9974513971312117,32.0
24,Bolt,4,16,True,0.9792341491884915,Sift1M,-183353.0,True,0.0,-0.9975710516495243,32.0
25,Bolt,4,16,True,0.9594460024885494,Sift1M,-345613.0,True,0.0,-0.9976290940674535,32.0
26,Bolt,4,16,True,0.9820905042074354,Sift1M,-343460.0,True,0.0,-0.9979230994807748,32.0
27,Bolt,4,16,True,0.9767266318331301,Sift1M,-146736.0,True,0.0,-0.9971493882668281,32.0
