,X_cols,X_rows,_algo,_code_bits,_ncodebooks,_quantize,corr_mean,corr_std,dataset,eval_time_secs,fracs_below_max_50th,fracs_below_max_90th,fracs_below_max_mean,fracs_below_max_std,mse_mean,mse_std,norm_mean,nqueries,opq_iters,recall@1,recall@10,recall@100,recall@1000,recall@5,recall@50,recall@500,rel_err_mean,rel_err_sq_mean,rel_err_sq_std,rel_err_std,rot_sz
0,128,10000,Bolt,4,16,True,0.9609627687261131,0.021153258604467887,Sift1M,3.4459710121154785,0.0084,0.02595,0.012883203125,0.013289416279599725,100195865482.26137,62430054653.2852,True,256,0.0,0.3359375,0.7734375,0.98828125,1.0,0.64453125,0.96484375,1.0,-0.9974748285243481,0.9949561052570123,0.0005341113207012731,0.0002678009246690608,16.0
1,128,10000,Bolt,4,16,True,0.9615105052250998,0.02094178362817709,Sift1M,3.4402048587799072,0.0077,0.0278,0.012488671875,0.013500054564189139,100246017210.02913,62461549065.14047,True,256,20.0,0.328125,0.78125,0.9921875,1.0,0.66796875,0.97265625,1.0,-0.9977243051926709,0.9954538464359522,0.0004774105393371353,0.00023929846042808716,8.0
2,128,10000,Bolt,4,16,True,0.9607915011330163,0.021371345216880697,Sift1M,3.408403158187866,0.00935,0.025099999999999997,0.0121609375,0.010968578947206141,100224954532.4777,62447650386.682594,True,256,20.0,0.33984375,0.8046875,0.99609375,1.0,0.69921875,0.984375,1.0,-0.9976231709865518,0.9952520557495758,0.0005064409277957926,0.00025389035513003584,16.0
3,128,10000,Bolt,4,16,True,0.9596011102167452,0.02204096735125213,Sift1M,3.632697105407715,0.0091,0.0262,0.012678125000000002,0.011722540636925726,100261041734.28282,62469710007.33603,True,256,20.0,0.359375,0.7890625,0.9921875,1.0,0.65234375,0.9609375,1.0,-0.9978033698142487,0.9956116217835094,0.00047617882125224097,0.0002386856476730594,32.0
4,128,10000,Bolt,4,32,True,0.9759124130155767,0.01274837641617964,Sift1M,3.655456066131592,0.0043,0.0113,0.00582578125,0.005126558392542548,99959561597.02419,62286878015.26319,True,256,0.0,0.4765625,0.8828125,1.0,1.0,0.82421875,0.99609375,1.0,-0.996279004692036,0.992571940456548,0.0005817923485810206,0.00029200409977415867,16.0
5,128,10000,Bolt,4,32,True,0.9770653637264713,0.012036496484017363,Sift1M,3.960085153579712,0.0041,0.0103,0.00551796875,0.004586792070611381,99882471834.5245,62238538444.71765,True,256,20.0,0.48046875,0.88671875,1.0,1.0,0.796875,0.99609375,1.0,-0.9958952181984727,0.9918073845818328,0.0006265024613591338,0.00031456517298004695,8.0
6,128,10000,Bolt,4,32,True,0.9766520209117268,0.012195152283080107,Sift1M,3.5267601013183594,0.00405,0.011300000000000001,0.00551875,0.0044946626333352314,99860482627.39062,62223531299.39845,True,256,20.0,0.48828125,0.92578125,1.0,1.0,0.8203125,0.99609375,1.0,-0.995792281782985,0.9916023746709274,0.0006490153271303403,0.0003259023854031771,16.0
7,128,10000,Bolt,4,32,True,0.9765877266878771,0.012259161428395705,Sift1M,3.691118001937866,0.0042,0.0112,0.005543359375,0.004538416191481298,99966942232.17065,62288876090.80724,True,256,20.0,0.4765625,0.90625,1.0,1.0,0.796875,1.0,1.0,-0.9963278031935966,0.9926691729834137,0.0005690695105254126,0.0002855990836367765,32.0
8,128,10000,Bolt,4,64,True,0.989774191940179,0.00507166544315095,Sift1M,4.1743128299713135,0.0019,0.00365,0.002199609375,0.001094963542731953,99639590432.96527,62088994627.382935,True,256,0.0,0.64453125,0.98828125,1.0,1.0,0.9609375,1.0,1.0,-0.9946842480045845,0.9893968206443687,0.0005165405466369655,0.00025964576640567224,16.0
9,128,10000,Bolt,4,64,True,0.9900479025012903,0.0049619679320564375,Sift1M,4.095258951187134,0.0019,0.0037,0.0022414062500000003,0.0013402732547734201,99553540546.8648,62034226000.99887,True,256,20.0,0.6796875,0.9921875,1.0,1.0,0.96484375,1.0,1.0,-0.9942594875198815,0.9885520053925224,0.0005513371424241748,0.00027725299640420916,8.0
