,_algo,_code_bits,_ncodebooks,_quantize,corr,dataset,err,norm_mean,opq_iters,rel_err,rot_sz
0,Bolt,4,16,True,0.9260052491554962,LabelMe,185.5288649201393,True,0.0,440.73267659392553,16.0
1,Bolt,4,16,True,0.8560375786424003,LabelMe,202.53874894976616,True,0.0,284.94344852119525,16.0
2,Bolt,4,16,True,0.9028675135080483,LabelMe,273.0261801481247,True,0.0,464.12654718844345,16.0
3,Bolt,4,16,True,0.842998253260693,LabelMe,347.1099920272827,True,0.0,423.83209029863826,16.0
4,Bolt,4,16,True,0.8233463304548446,LabelMe,190.4699940085411,True,0.0,343.0732288129824,16.0
5,Bolt,4,16,True,0.9131292565609388,LabelMe,374.058901488781,True,0.0,405.9784792458355,16.0
6,Bolt,4,16,True,0.9132656576505607,LabelMe,455.0378203392029,True,0.0,256.99412241355924,16.0
7,Bolt,4,16,True,0.7877345757114191,LabelMe,133.38852655887604,True,0.0,295.8018599802816,16.0
8,Bolt,4,16,True,0.8786277013975184,LabelMe,462.9383053779602,True,0.0,466.3715168262262,16.0
9,Bolt,4,16,True,0.9434351929533119,LabelMe,252.24755400419235,True,0.0,275.47835113935156,16.0
10,Bolt,4,16,True,0.8237697478511476,LabelMe,339.2451685667038,True,0.0,339.10262698968086,16.0
11,Bolt,4,16,True,0.9316710629045276,LabelMe,413.7009803056717,True,0.0,381.9441445473004,16.0
12,Bolt,4,16,True,0.8619077291663438,LabelMe,439.0238537788391,True,0.0,414.1746846717213,16.0
13,Bolt,4,16,True,0.7596107567000505,LabelMe,745.1266801357269,True,0.0,399.4987521476399,16.0
14,Bolt,4,16,True,0.9478890985038965,LabelMe,342.05551850795746,True,0.0,462.4145150451999,16.0
15,Bolt,4,16,True,0.9475645993301832,LabelMe,246.43678265810013,True,0.0,311.21893625002815,16.0
16,Bolt,4,16,True,0.8843783227958564,LabelMe,317.17542201280594,True,0.0,391.8726348655091,16.0
17,Bolt,4,16,True,0.7912626672364407,LabelMe,420.06821620464325,True,0.0,349.3147435667531,16.0
18,Bolt,4,16,True,0.8778062054769867,LabelMe,452.8766143321991,True,0.0,327.97966025366185,16.0
19,Bolt,4,16,True,0.7817620903064804,LabelMe,266.3105890750885,True,0.0,355.81000020165254,16.0
20,Bolt,4,16,True,0.8905132144125533,LabelMe,385.00750452280045,True,0.0,353.48832132258514,16.0
21,Bolt,4,16,True,0.7818390829832147,LabelMe,126.65017372369766,True,0.0,404.0980578114896,16.0
22,Bolt,4,16,True,0.8336128406427517,LabelMe,289.2570233345032,True,0.0,367.55779587513666,16.0
23,Bolt,4,16,True,0.8871058799218688,LabelMe,176.4629920721054,True,0.0,407.73648152555216,16.0
24,Bolt,4,16,True,0.9133617479529922,LabelMe,202.4207328557968,True,0.0,312.08106655569543,16.0
25,Bolt,4,16,True,0.8792388149219724,LabelMe,262.43775403499603,True,0.0,370.48386267778784,16.0
26,Bolt,4,16,True,0.9507759391094495,LabelMe,553.4511785507202,True,0.0,319.2202186704355,16.0
27,Bolt,4,16,True,0.95285528972765,LabelMe,202.25991088151932,True,0.0,363.7791828286166,16.0
28,Bolt,4,16,True,0.8492870563859372,LabelMe,331.1866543292999,True,0.0,317.4036452118821,16.0
29,Bolt,4,16,True,0.8002070233209125,LabelMe,401.0971256494522,True,0.0,391.04148755004536,16.0
30,Bolt,4,16,True,0.8977228117597454,LabelMe,263.3370636701584,True,0.0,506.3147769675095,16.0
31,Bolt,4,16,True,0.8846246450505549,LabelMe,224.3330425620079,True,0.0,243.34754202654565,16.0
32,Bolt,4,16,True,0.9401491461870876,LabelMe,297.29412537813187,True,0.0,315.3913540017203,16.0
33,Bolt,4,16,True,0.8984874645359713,LabelMe,608.8061351776123,True,0.0,452.1975222854588,16.0
34,Bolt,4,16,True,0.8131845614881786,LabelMe,465.9544939994812,True,0.0,409.83246302908316,16.0
35,Bolt,4,16,True,0.870891904422964,LabelMe,768.8452861309052,True,0.0,348.81598926559076,16.0
36,Bolt,4,16,True,0.8624901539454594,LabelMe,234.16210931539536,True,0.0,387.3073697701519,16.0
37,Bolt,4,16,True,0.8263690507571486,LabelMe,381.15810602903366,True,0.0,414.6751280458011,16.0
38,Bolt,4,16,True,0.9132969634675266,LabelMe,194.37666112184525,True,0.0,332.6978903494563,16.0
39,Bolt,4,16,True,0.8517961089508422,LabelMe,458.84426176548004,True,0.0,381.19406327206224,16.0
40,Bolt,4,16,True,0.8035627006347429,LabelMe,226.31336361169815,True,0.0,370.3364782482912,16.0
41,Bolt,4,16,True,0.9046600664258878,LabelMe,480.81567096710205,True,0.0,319.7929602721633,16.0
42,Bolt,4,16,True,0.8186007280924438,LabelMe,446.98606181144714,True,0.0,393.94436879815737,16.0
43,Bolt,4,16,True,0.8084948460283451,LabelMe,197.3571282029152,True,0.0,314.9404098785875,16.0
44,Bolt,4,16,True,0.8732951675599047,LabelMe,195.36312699317932,True,0.0,298.0002186901889,16.0
45,Bolt,4,16,True,0.9225510987405736,LabelMe,347.62550806999207,True,0.0,286.8025205415977,16.0
46,Bolt,4,16,True,0.9273464747137139,LabelMe,355.00283682346344,True,0.0,253.11685829078556,16.0
47,Bolt,4,16,True,0.9068360322724499,LabelMe,355.99500155448914,True,0.0,469.9914478701624,16.0
48,Bolt,4,16,True,0.919892788121852,LabelMe,314.0435863137245,True,0.0,376.86097003412124,16.0
49,Bolt,4,16,True,0.9333645382950199,LabelMe,106.68790355324745,True,0.0,330.79695488298796,16.0
50,Bolt,4,16,True,0.897861573383971,LabelMe,221.36663436889648,True,0.0,431.05839745340177,16.0
51,Bolt,4,16,True,0.9608374570204606,LabelMe,226.2340931892395,True,0.0,390.9732234836375,16.0
52,Bolt,4,16,True,0.8794735585196761,LabelMe,134.6295681297779,True,0.0,339.9967377676306,16.0
53,Bolt,4,16,True,0.9199308031538468,LabelMe,169.21757447719574,True,0.0,366.2143331913415,16.0
54,Bolt,4,16,True,0.8137073941523794,LabelMe,166.4026603102684,True,0.0,360.4562378294116,16.0
55,Bolt,4,16,True,0.9443728816919869,LabelMe,173.6378002166748,True,0.0,403.48386166997756,16.0
56,Bolt,4,16,True,0.9059610563285307,LabelMe,484.9993408918381,True,0.0,296.2839590110064,16.0
57,Bolt,4,16,True,0.838720420091147,LabelMe,165.50811141729355,True,0.0,234.95462260715553,16.0
58,Bolt,4,16,True,0.8390793054239231,LabelMe,180.42824447155,True,0.0,228.12054082557506,16.0
59,Bolt,4,16,True,0.8890706038736822,LabelMe,159.6075533926487,True,0.0,395.5275403549574,16.0
60,Bolt,4,16,True,0.899107179217015,LabelMe,342.2687405347824,True,0.0,211.52241126676273,16.0
61,Bolt,4,16,True,0.8956888816648791,LabelMe,626.7005882263184,True,0.0,215.9179432246205,16.0
62,Bolt,4,16,True,0.8724872427532827,LabelMe,450.94722831249237,True,0.0,369.71141953154176,16.0
63,Bolt,4,16,True,0.8750689913462295,LabelMe,420.08335268497467,True,0.0,411.0702631855115,16.0
64,Bolt,4,16,True,0.8581836654897576,LabelMe,297.27077293395996,True,0.0,410.1880249088044,16.0
65,Bolt,4,16,True,0.8820902068291538,LabelMe,490.9689607620239,True,0.0,315.57694996222926,16.0
66,Bolt,4,16,True,0.9108822738725749,LabelMe,253.1095214486122,True,0.0,379.2058492093092,16.0
67,Bolt,4,16,True,0.8550839945857484,LabelMe,185.52314779162407,True,0.0,329.9067340584178,16.0
68,Bolt,4,16,True,0.8251135725266356,LabelMe,406.06355607509613,True,0.0,357.53924077367225,16.0
69,Bolt,4,16,True,0.9200197224478444,LabelMe,252.39741694927216,True,0.0,281.1566442798835,16.0
70,Bolt,4,16,True,0.8900652890560117,LabelMe,373.2360215187073,True,0.0,425.51001442804966,16.0
71,Bolt,4,16,True,0.8774343745139123,LabelMe,229.3908236026764,True,0.0,295.8227694030963,16.0
72,Bolt,4,16,True,0.9396659431765446,LabelMe,203.40515738725662,True,0.0,433.45579164817855,16.0
73,Bolt,4,16,True,0.8900907177729143,LabelMe,201.35411036014557,True,0.0,485.38771878528723,16.0
74,Bolt,4,16,True,0.8683521527108922,LabelMe,324.13285434246063,True,0.0,365.76503149818046,16.0
75,Bolt,4,16,True,0.8757290107584061,LabelMe,285.2486732006073,True,0.0,307.9803841794905,16.0
76,Bolt,4,16,True,0.8906904761542627,LabelMe,166.38481533527374,True,0.0,384.97407544069614,16.0
77,Bolt,4,16,True,0.8138596506998745,LabelMe,118.39300578832626,True,0.0,267.40189367311547,16.0
78,Bolt,4,16,True,0.854486512588462,LabelMe,274.40921103954315,True,0.0,264.79277491198326,16.0
79,Bolt,4,16,True,0.8594285334907921,LabelMe,166.58231261372566,True,0.0,367.8998645155978,16.0
80,Bolt,4,16,True,0.9212902871772384,LabelMe,601.6174824237823,True,0.0,457.57612260307786,16.0
81,Bolt,4,16,True,0.879737242061081,LabelMe,453.9797590970993,True,0.0,377.3931433167287,16.0
82,Bolt,4,16,True,0.860939617518427,LabelMe,134.4942091703415,True,0.0,381.47392571779267,16.0
83,Bolt,4,16,True,0.8882653328167929,LabelMe,204.39860272407532,True,0.0,364.0784431208681,16.0
84,Bolt,4,16,True,0.9174317599583457,LabelMe,461.81538021564484,True,0.0,338.62917126314346,16.0
85,Bolt,4,16,True,0.8198337095992211,LabelMe,460.83505749702454,True,0.0,384.8486661445793,16.0
86,Bolt,4,16,True,0.9101126554859491,LabelMe,171.36321187019348,True,0.0,300.95522354033756,16.0
87,Bolt,4,16,True,0.846782314579224,LabelMe,132.72775727510452,True,0.0,384.9935580375045,16.0
88,Bolt,4,16,True,0.8815725325690617,LabelMe,419.07987236976624,True,0.0,386.791392797405,16.0
89,Bolt,4,16,True,0.8980268128450936,LabelMe,139.40524816513062,True,0.0,248.6180347820354,16.0
90,Bolt,4,16,True,0.8911440493829927,LabelMe,79.68139681220055,True,0.0,296.029884042283,16.0
91,Bolt,4,16,True,0.9190433753982387,LabelMe,281.30970561504364,True,0.0,405.2184580907661,16.0
92,Bolt,4,16,True,0.9025645246909004,LabelMe,224.1801359653473,True,0.0,293.5408625623612,16.0
93,Bolt,4,16,True,0.8844667110540175,LabelMe,366.2345145344734,True,0.0,421.83858429403824,16.0
94,Bolt,4,16,True,0.8644968414473729,LabelMe,269.28792464733124,True,0.0,345.54646490053057,16.0
95,Bolt,4,16,True,0.8537110652999899,LabelMe,428.06154495477676,True,0.0,407.36835518132114,16.0
96,Bolt,4,16,True,0.9455178736009762,LabelMe,101.69495299458504,True,0.0,344.795982543273,16.0
97,Bolt,4,16,True,0.8577617507923471,LabelMe,406.87137019634247,True,0.0,396.17153748245727,16.0
98,Bolt,4,16,True,0.8410844319913543,LabelMe,664.4036630392075,True,0.0,373.68711769587804,16.0
99,Bolt,4,16,True,0.8539991399104117,LabelMe,132.6120701134205,True,0.0,279.5095590849961,16.0
100,Bolt,4,16,True,0.8388557150046796,LabelMe,135.4892708659172,True,0.0,320.3366890816017,16.0
101,Bolt,4,16,True,0.8973381846828699,LabelMe,316.1886907815933,True,0.0,318.73608407828556,16.0
102,Bolt,4,16,True,0.9319443502030266,LabelMe,184.453311085701,True,0.0,379.35438769649085,16.0
103,Bolt,4,16,True,0.8668716477035466,LabelMe,533.7460720539093,True,0.0,536.0521537708158,16.0
104,Bolt,4,16,True,0.8600830618156926,LabelMe,358.6369438171387,True,0.0,347.5689875174651,16.0
105,Bolt,4,16,True,0.9467763344842786,LabelMe,290.0496436357498,True,0.0,357.87853807653806,16.0
106,Bolt,4,16,True,0.8887145539145208,LabelMe,349.12999653816223,True,0.0,448.0460539996398,16.0
107,Bolt,4,16,True,0.8935708786940822,LabelMe,328.1454648375511,True,0.0,431.0659101752961,16.0
108,Bolt,4,16,True,0.8721564191061093,LabelMe,197.56611108779907,True,0.0,335.4776248118218,16.0
109,Bolt,4,16,True,0.9068821802285009,LabelMe,236.35076701641083,True,0.0,366.79358051096847,16.0
110,Bolt,4,16,True,0.8073077671471179,LabelMe,422.97882866859436,True,0.0,434.0538643309087,16.0
111,Bolt,4,16,True,0.8975233304705768,LabelMe,278.16745138168335,True,0.0,514.7294694544041,16.0
112,Bolt,4,16,True,0.9101344877364085,LabelMe,292.2777999639511,True,0.0,380.9846359444007,16.0
113,Bolt,4,16,True,0.8722012271816022,LabelMe,356.1822853088379,True,0.0,397.5756511128586,16.0
114,Bolt,4,16,True,0.8781485881137661,LabelMe,122.51573359966278,True,0.0,339.2578593266183,16.0
115,Bolt,4,16,True,0.907057064186528,LabelMe,368.8807908296585,True,0.0,364.2450456324826,16.0
116,Bolt,4,16,True,0.9042545693251203,LabelMe,381.92072224617004,True,0.0,416.9698589276436,16.0
117,Bolt,4,16,True,0.9150790953980061,LabelMe,356.9020029306412,True,0.0,255.98205150024677,16.0
118,Bolt,4,16,True,0.865759314148496,LabelMe,518.7791508436203,True,0.0,373.3255205882904,16.0
119,Bolt,4,16,True,0.9313369150013353,LabelMe,248.37024569511414,True,0.0,282.04236518047884,16.0
120,Bolt,4,16,True,0.7925950396682508,LabelMe,333.11419320106506,True,0.0,429.0178868406759,16.0
121,Bolt,4,16,True,0.9453447803842795,LabelMe,384.77549636363983,True,0.0,410.9383335966172,16.0
122,Bolt,4,16,True,0.8893450871389063,LabelMe,270.2088426351547,True,0.0,371.66435749915945,16.0
123,Bolt,4,16,True,0.9087861086015718,LabelMe,933.7043151855469,True,0.0,335.9384208965903,16.0
124,Bolt,4,16,True,0.8280472139798626,LabelMe,439.9439401626587,True,0.0,437.19060613761303,16.0
125,Bolt,4,16,True,0.8949890107532819,LabelMe,315.1678510904312,True,0.0,413.53015115258717,16.0
126,Bolt,4,16,True,0.9054679812699271,LabelMe,186.28816324472427,True,0.0,345.08377307589916,16.0
